title,property_type,price,district,location,area,bedrooms,bathrooms
1BHK Flat,Flat,2900000,Vadodara,Fatehgunj,588,1,1
2BHK Flat,Flat,2300000,Amreli,Khodiyar Colony,775,2,2
2BHK Villa,Villa,4700000,Bhavnagar,Waghawadi Road,1468,2,1
3BHK Villa,Villa,6000000,Junagadh,Chittakhana Chowk,1469,3,3
3BHK Flat,Flat,4200000,Valsad,Tithal Road,1330,3,2
3BHK Flat,Flat,4000000,Bhavnagar,Rupani Circle,1080,3,2
2BHK Villa,Villa,9700000,Gandhinagar,Sector 7,1381,2,1
2BHK Villa,Villa,3800000,Bhavnagar,Rupani Circle,1136,2,2
2BHK Villa,Villa,7000000,Rajkot,Kotecha Chowk,1534,2,2
3BHK Villa,Villa,5000000,Amreli,Rajendra Nagar,1847,3,2
3BHK Flat,Flat,6000000,Junagadh,College Road,1644,3,3
3BHK Villa,Villa,7500000,Valsad,Fort Road,2299,3,2
3BHK Villa,Villa,6800000,Jamnagar,Digvijay Plot,1751,3,3
3BHK Flat,Flat,6300000,Bhavnagar,Kalanala,1773,3,2
2BHK Villa,Villa,5600000,Amreli,Khodiyar Colony,1530,2,2
3BHK Flat,Flat,5800000,Jamnagar,Harihar Plot,1460,3,2
2BHK Flat,Flat,2900000,Valsad,Fort Road,737,2,2
3BHK Villa,Villa,10400000,Ahmedabad,Ambawadi,1416,3,2
2BHK Villa,Villa,5700000,Anand,Anand Town,1366,2,2
2BHK Flat,Flat,3600000,Junagadh,Kalwa Chowk,1001,2,1
2BHK Villa,Villa,2900000,Morbi,Nava Bazar,1016,2,2
2BHK Villa,Villa,6500000,Gandhinagar,Kudasan,1106,2,1
3BHK Flat,Flat,11900000,Surat,Jahangirpura,1794,3,2
1BHK Flat,Flat,2300000,Amreli,Sardar Nagar,622,1,1
3BHK Flat,Flat,4400000,Mehsana,GIDCColony,1194,3,2
2BHK Flat,Flat,5600000,Surat,Katargam,969,2,2
3BHK Flat,Flat,3900000,Junagadh,Jayshree Plot,1465,3,2
4BHK Flat,Flat,8500000,Valsad,Tithal Road,2353,4,3
3BHK Villa,Villa,5900000,Amreli,Sardar Nagar,1498,3,2
3BHK Flat,Flat,3200000,Amreli,Sardar Nagar,1052,3,2
2BHK Flat,Flat,2800000,Junagadh,Chittakhana Chowk,1037,2,1
1BHK Flat,Flat,2100000,Bhavnagar,Kalanala,642,1,1
3BHK Flat,Flat,5600000,Navsari,Lunsikui,1448,3,3
2BHK Villa,Villa,3200000,Mehsana,Highway Road,957,2,1
2BHK Flat,Flat,3200000,Jamnagar,Harihar Plot,933,2,2
3BHK Flat,Flat,9300000,Rajkot,University Road,1768,3,2
1BHK Flat,Flat,3100000,Ahmedabad,Satellite,604,1,1
2BHK Flat,Flat,3600000,Mehsana,Modhera Road,956,2,1
2BHK Flat,Flat,7000000,Ahmedabad,Naranpura,1072,2,2
3BHK Flat,Flat,4400000,Valsad,Nanpura,1233,3,3
2BHK Flat,Flat,4000000,Surat,Jahangirpura,735,2,2
2BHK Villa,Villa,3800000,Amreli,Rajendra Nagar,1318,2,2
3BHK Flat,Flat,9300000,Vadodara,Alkapuri,1758,3,2
2BHK Villa,Villa,4000000,Valsad,Fort Road,1066,2,2
2BHK Villa,Villa,5600000,Bharuch,GIDC Ankleshwar,1356,2,1
2BHK Flat,Flat,3000000,Mehsana,GIDCColony,934,2,2
4BHK Villa,Villa,9700000,Anand,Bakrol,2281,4,4
3BHK Flat,Flat,4700000,Bhavnagar,Atabhai Circle,1209,3,3
3BHK Villa,Villa,5100000,Morbi,Shaktinagar,1506,3,2
3BHK Flat,Flat,3200000,Anand,Vidyanagar,1053,3,3
2BHK Flat,Flat,3600000,Anand,Bakrol,895,2,2
4BHK Flat,Flat,14100000,Ahmedabad,Bodakdev,1984,4,3
2BHK Flat,Flat,3600000,Surat,Vesu,732,2,2
4BHK Flat,Flat,7400000,Valsad,Dharampur Road,2078,4,4
4BHK Flat,Flat,8000000,Bharuch,Rajpipla Road,2316,4,3
3BHK Flat,Flat,5900000,Valsad,Nanpura,1552,3,2
4BHK Villa,Villa,12200000,Bhavnagar,Crescent Circle,2968,4,4
3BHK Flat,Flat,6400000,Bhavnagar,Atabhai Circle,1762,3,2
2BHK Flat,Flat,3000000,Morbi,Station Road,1074,2,2
2BHK Villa,Villa,3900000,Amreli,Khodiyar Colony,986,2,1
1BHK Flat,Flat,2300000,Anand,Bakrol,548,1,1
3BHK Flat,Flat,8800000,Gandhinagar,Infocity,1769,3,2
2BHK Flat,Flat,2000000,Morbi,Vaishali Nagar,734,2,2
3BHK Flat,Flat,5300000,Amreli,Rajendra Nagar,1517,3,3
3BHK Flat,Flat,6500000,Mehsana,GIDCColony,1725,3,3
3BHK Flat,Flat,3200000,Morbi,Shaktinagar,1037,3,3
3BHK Villa,Villa,5500000,Amreli,Station Road,1732,3,2
2BHK Flat,Flat,2500000,Morbi,Shaktinagar,731,2,1
4BHK Flat,Flat,9300000,Surat,Katargam,1680,4,3
3BHK Villa,Villa,7200000,Bharuch,GIDC Ankleshwar,1826,3,2
3BHK Villa,Villa,7700000,Rajkot,Kotecha Chowk,1358,3,3
3BHK Flat,Flat,3400000,Valsad,Nanpura,1068,3,2
2BHK Villa,Villa,4600000,Navsari,Dudhia Talav,1226,2,1
3BHK Villa,Villa,9000000,Mehsana,Highway Road,2509,3,2
2BHK Flat,Flat,2500000,Junagadh,Sakar Bagh Road,738,2,1
3BHK Flat,Flat,8900000,Ahmedabad,Vastrapur,1158,3,2
1BHK Flat,Flat,2900000,Surat,Pal,576,1,1
2BHK Flat,Flat,5100000,Gandhinagar,Pethapur,896,2,2
4BHK Flat,Flat,8200000,Bhavnagar,Kalanala,2225,4,4
2BHK Flat,Flat,2500000,Valsad,Dharampur Road,841,2,1
2BHK Flat,Flat,4000000,Bhavnagar,Waghawadi Road,1091,2,1
2BHK Flat,Flat,2900000,Valsad,Halar,874,2,2
3BHK Flat,Flat,3300000,Anand,Vidyanagar,1136,3,3
2BHK Flat,Flat,2900000,Valsad,Tithal Road,905,2,2
3BHK Flat,Flat,10100000,Ahmedabad,Prahlad Nagar,1685,3,3
3BHK Flat,Flat,3800000,Valsad,Halar,1224,3,3
3BHK Flat,Flat,4600000,Morbi,Shaktinagar,1635,3,3
3BHK Villa,Villa,7300000,Rajkot,Mavdi,1688,3,3
3BHK Villa,Villa,7900000,Bhavnagar,Atabhai Circle,2167,3,2
3BHK Villa,Villa,6100000,Morbi,Vaishali Nagar,1521,3,3
4BHK Flat,Flat,7200000,Junagadh,Kalwa Chowk,1862,4,3
3BHK Flat,Flat,4900000,Mehsana,GIDCColony,1270,3,2
2BHK Flat,Flat,2000000,Morbi,Station Road,780,2,1
3BHK Flat,Flat,4400000,Jamnagar,Bedi Gate,1440,3,2
4BHK Flat,Flat,15700000,Ahmedabad,Ambawadi,2503,4,3
3BHK Villa,Villa,6400000,Morbi,Nava Bazar,2428,3,3
4BHK Flat,Flat,5300000,Jamnagar,Digvijay Plot,1848,4,4
2BHK Villa,Villa,4500000,Valsad,Nanpura,1195,2,1
2BHK Flat,Flat,3600000,Mehsana,Radhanpur Road,983,2,2
2BHK Villa,Villa,3900000,Morbi,Station Road,1041,2,2
3BHK Villa,Villa,6900000,Navsari,Lunsikui,1671,3,3
4BHK Flat,Flat,7900000,Mehsana,Modhera Road,2345,4,3
3BHK Villa,Villa,5800000,Valsad,Fort Road,1367,3,3
4BHK Flat,Flat,9500000,Gandhinagar,Sector 16,2242,4,3
1BHK Flat,Flat,2400000,Rajkot,Kotecha Chowk,544,1,1
3BHK Flat,Flat,8600000,Gandhinagar,Infocity,1640,3,2
3BHK Flat,Flat,4100000,Navsari,Lunsikui,1102,3,3
2BHK Flat,Flat,2200000,Morbi,Vaishali Nagar,723,2,1
3BHK Flat,Flat,4500000,Bhavnagar,Rupani Circle,1670,3,3
3BHK Flat,Flat,9400000,Ahmedabad,Bopal,1464,3,3
1BHK Flat,Flat,2200000,Valsad,Tithal Road,639,1,1
2BHK Flat,Flat,3400000,Morbi,Shaktinagar,1095,2,1
2BHK Flat,Flat,3900000,Jamnagar,Indira Marg,957,2,1
2BHK Villa,Villa,4400000,Jamnagar,Harihar Plot,1382,2,1
2BHK Villa,Villa,5000000,Anand,Vidyanagar,1011,2,2
4BHK Villa,Villa,16900000,Ahmedabad,Navrangpura,2890,4,4
2BHK Flat,Flat,3600000,Morbi,Ravapar Road,1010,2,1
3BHK Flat,Flat,5200000,Valsad,Fort Road,1735,3,2
3BHK Flat,Flat,7300000,Gandhinagar,Sector 1,1738,3,2
3BHK Villa,Villa,16700000,Ahmedabad,Navrangpura,2090,3,3
3BHK Flat,Flat,9100000,Gandhinagar,Pethapur,1426,3,2
2BHK Villa,Villa,5400000,Ahmedabad,Chandkheda,1015,2,2
4BHK Flat,Flat,8100000,Mehsana,Modhera Road,2080,4,3
4BHK Flat,Flat,11200000,Vadodara,Vasna Road,2754,4,4
3BHK Flat,Flat,5700000,Junagadh,Sakar Bagh Road,1613,3,2
2BHK Flat,Flat,4600000,Surat,Vesu,924,2,2
3BHK Villa,Villa,7400000,Rajkot,150 Feet Ring Road,1508,3,2
4BHK Flat,Flat,6900000,Amreli,Station Road,1906,4,3
2BHK Villa,Villa,6600000,Anand,Karamsad,1436,2,2
1BHK Flat,Flat,2500000,Rajkot,Kalawad Road,482,1,1
3BHK Villa,Villa,5300000,Mehsana,Modhera Road,1556,3,2
4BHK Flat,Flat,15800000,Surat,Althan,2359,4,4
3BHK Flat,Flat,4000000,Mehsana,Radhanpur Road,1268,3,2
3BHK Flat,Flat,6500000,Amreli,Rajendra Nagar,1709,3,2
4BHK Villa,Villa,10000000,Valsad,Fort Road,2483,4,3
3BHK Flat,Flat,6600000,Gandhinagar,Pethapur,1494,3,3
2BHK Villa,Villa,4800000,Anand,Vallabh Vidyanagar,1347,2,2
2BHK Villa,Villa,5000000,Navsari,Abrama,1529,2,1
2BHK Flat,Flat,2600000,Bhavnagar,Rupani Circle,891,2,1
2BHK Flat,Flat,5100000,Surat,Athwa,767,2,1
3BHK Flat,Flat,5200000,Bhavnagar,Rupani Circle,1657,3,3
3BHK Flat,Flat,4900000,Bharuch,Rajpipla Road,1529,3,2
2BHK Flat,Flat,2400000,Mehsana,Modhera Road,721,2,2
3BHK Villa,Villa,8000000,Morbi,Ravapar Road,2131,3,3
3BHK Villa,Villa,7600000,Junagadh,Sakar Bagh Road,1797,3,3
